Date,Time,Total,Cls,Cls,Cls,Cls,Cls,Cls,Cls,Cls,Cls,Cls,Cls,Cls,Cls,Mean,Vpp
2021-08-02,1500,92,4,76,3,1,1,5,0,0,0,2,0,0,0,66.5,96.5
2021-08-02,1600,346,44,177,42,2,33,10,0,3,16,16,0,0,3,64.9,78.5
2021-08-02,1700,369,45,189,39,12,48,10,0,2,14,8,0,0,2,72.3,86.9
2021-08-02,1800,358,35,171,30,3,47,19,0,5,28,14,0,0,6,68.3,83.2
2021-08-02,1900,295,11,135,23,7,50,15,0,5,27,19,0,0,3,68.5,81
2021-08-02,2000,242,8,110,22,4,36,12,1,3,18,27,0,0,1,66,82.4
2021-08-02,2100,205,8,80,13,3,38,14,0,5,23,20,0,0,1,69,83.8
2021-08-02,2200,217,1,77,12,4,37,14,1,4,41,24,0,0,2,66.9,81.9
2021-08-02,2300,233,2,93,9,9,50,13,0,9,17,29,0,0,2,68.7,82.4
2021-08-02,07-19,1165,128,613,114,18,129,44,0,10,58,40,0,0,11,68.4,84.6
2021-08-02,06-22,1907,155,938,172,32,253,85,1,23,126,106,0,0,16,68.2,83.7
2021-08-02,06-00,2357,158,1108,193,45,340,112,2,36,184,159,0,0,20,68.1,83.3
2021-08-02,00-00,2357,158,1108,193,45,340,112,2,36,184,159,0,0,20,68.1,83.3
2021-08-03,0000,213,3,54,13,8,65,10,1,2,29,25,0,0,3,68.6,82.4
2021-08-03,0100,191,3,47,8,15,50,13,0,2,34,19,0,0,0,73.3,88.8
2021-08-03,0200,162,1,44,16,21,45,5,1,2,10,16,0,0,1,76.9,89.2
2021-08-03,0300,141,0,37,14,12,45,12,0,3,10,8,0,0,0,73.2,86.3
2021-08-03,0400,165,4,62,14,1,41,16,0,3,11,10,0,0,3,71.5,86.2
2021-08-03,0500,260,47,110,20,3,39,16,0,3,11,11,0,0,0,67.9,82.2
2021-08-03,0600,390,103,171,29,1,42,15,0,5,7,16,0,0,1,71.6,85.2
